sample_id,y,year,gugun_cd,lat,lon,is_yeongdeungpo,highway_class_base,nearest_segment_dist_m,segment_length_km,school_zone_count_300m,nearest_school_zone_dist_m,log_nearest_school_zone_dist,cctv_count_300m,mean_road_width,blackspot_count_500m,mean_occrrnc_500m,occrrnc_cnt,link_id,highway,name
pos-2022-6836491,1,2022,380,37.6110293,126.9173003,0,0.28,8547.09,0.529,2,221.07,5.403,24,6.0,1,27.0,24,syn-yd-2022-6836516,secondary,서울특별시 영등포구 양평동4가(양평동사거리 인근)
pos-2022-6836492,1,2022,380,37.5889749,126.9183804,0,0.28,6191.51,0.529,2,239.98,5.4847,9,5.8,0,0.0,23,syn-yd-2022-6836516,secondary,서울특별시 영등포구 양평동4가(양평동사거리 인근)
pos-2022-6836495,1,2022,410,37.5907009,126.9419297,0,0.34,6721.27,0.6653,3,164.24,5.1074,7,11.167,2,37.5,27,3501814,trunk,섬유도로
pos-2022-6836496,1,2022,410,37.5685912,126.9183741,0,0.28,4078.04,0.529,0,569.33,6.3462,0,0.0,0,0.0,26,syn-yd-2022-6836516,secondary,서울특별시 영등포구 양평동4가(양평동사거리 인근)
pos-2022-6836497,1,2022,410,37.5813002,126.9358492,0,0.34,5589.68,0.6653,0,463.74,6.1415,0,0.0,0,0.0,21,3501814,trunk,섬유도로
pos-2022-6836500,1,2022,440,37.5549842,126.9215951,0,0.34,2593.4,0.6653,1,245.61,5.5078,12,6.05,3,41.0,36,3501814,trunk,섬유도로
pos-2022-6836501,1,2022,440,37.5486481,126.9140933,0,0.28,2029.08,0.529,0,597.59,6.3946,0,0.0,0,0.0,29,syn-yd-2022-6836516,secondary,서울특별시 영등포구 양평동4가(양평동사거리 인근)
pos-2022-6836502,1,2022,440,37.5397648,126.9475513,0,0.34,2192.89,0.6653,3,237.87,5.4759,8,6.15,0,0.0,25,3501814,trunk,섬유도로
pos-2022-6836550,1,2022,470,37.5168357,126.8394651,0,0.34,4524.56,0.7957,0,420.01,6.0426,0,0.0,1,28.0,31,3502405,trunk,제2산업도로
pos-2022-6836551,1,2022,470,37.5259422,126.8643766,0,0.28,2555.27,0.5291,1,287.98,5.6664,1,5.0,2,37.5,31,syn-yd-2022-6836517,secondary,서울특별시 영등포구 양평동(경인고속입구교차로 인근)
pos-2022-6836552,1,2022,470,37.5356623,126.8283841,0,0.28,5737.08,0.5291,1,266.09,5.5876,3,17.0,1,28.0,30,syn-yd-2022-6836517,secondary,서울특별시 영등포구 양평동(경인고속입구교차로 인근)
pos-2022-6836505,1,2022,500,37.5583444,126.8382764,0,0.28,5788.76,0.5291,1,141.82,4.9616,0,10.0,1,38.0,37,syn-yd-2022-6836517,secondary,서울특별시 영등포구 양평동(경인고속입구교차로 인근)
pos-2022-6836506,1,2022,500,37.5303825,126.8474638,0,0.28,4015.65,0.5291,3,169.5,5.1388,3,6.667,4,39.0,33,syn-yd-2022-6836517,secondary,서울특별시 영등포구 양평동(경인고속입구교차로 인근)
pos-2022-6836507,1,2022,500,37.5528861,126.8508113,0,0.28,4533.65,0.5291,0,388.91,5.9659,0,0.0,1,33.0,27,syn-yd-2022-6836517,secondary,서울특별시 영등포구 양평동(경인고속입구교차로 인근)
pos-2022-6836510,1,2022,530,37.4795496,126.8888837,0,0.34,2350.13,0.7957,0,387.44,5.9621,0,0.0,2,52.5,35,3502405,trunk,제2산업도로
pos-2022-6836511,1,2022,530,37.4864462,126.8779824,0,0.34,1744.03,0.7957,1,295.23,5.6911,0,0.0,2,39.0,30,3502405,trunk,제2산업도로
